name,type,state,city,lat,long,status,founded_month,founded_year,summarize,cancel_reason,cancel_time,link
Austin Food & Wine Festival,Food,TX,Austin,30.2711286,-97.7436995,Active,April,2012,,,,
Baby Food Festival,Food,MI,Fremont,43.467517,-85.942001,Active,July,1990,,,,
Backwoods Music Festival,Music,OK,Stroud,35.7477749,-96.6566742,Active,April,2008,,,,
Banana Split Festival,Food,OH,Wilmington,39.4453393,-83.8285375,Active,June,1904,,,,
Bard Music Festival,Music,NY,Annandale-on-Hudson,42.0128695,-73.9081901,Active,August,1990,,,,
Barnesville Pumpkin Festival,Food,OH,Barnesville,39.9881261,-81.1764961,Active,September,1964,,,,
Bayfest,Music,AL,Mobile,30.6943566,-88.0430541,Inactive,October,1995,Replaced,officials with BayFest announced the music festival would be ending after a 20-year run. ,2005,https://www.gulflive.com/entertainment/2015/09/new_music_festival_announced_t.html
Bayou City Art Festival,Art,TX,Houston,29.7589382,-95.3676974,Active,March,1971,,,,
Bayou Country Superfest,Music,LA,Baton Rouge,30.4459596,-91.18738,Active,May,2010,,,,
Beale Street Music Festival,Music,TN,Memphis,35.1490215,-90.0516285,Active,May,1977,,,,
Beer Cheese Festival,Food,KY,Winchester,37.990079,-84.1796503,Active,June,2009,,,,
Bel Air Film Festival,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,November,2008,,,,
Beloit International Film Festival,Film,WI,Beloit,42.5083272,-89.031784,Active,February,2006,,,,
Bend Brewfest,Beer,OR,Bend,44.0581728,-121.3153096,Active,August,2002,,,,
Bentonville Film Festival,Film,AR,Bentonville,36.3728538,-94.2088172,Active,May,2015,,,,
Berlin & Beyond Film Festival,Film,CA,San Francisco,37.7792808,-122.4192363,Active,January,1996,,,,
Best in the West Nugget Rib Cook-off,Food,NV,Sparks,39.5348431,-119.7527683,Active,September,1989,,,,
Big Bear Lake International Film Festival,Film,CA,Big Bear Lake,34.253293,-116.932209687315,Inactive,September,2000,Unknow,"Held from 2000 to 2014, and 2017. Reason unknow",2017,http://www.bigbearfilmfestival.com/
Big Spring Jam,Music,AL,Huntsville,34.6686435,-86.4418197139765,Inactive,September,1993,Weather,"Organizers announced in November 2011 that they would ""shelve"" the event for the immediate future with plans to ""retool"" or ""recreate"" it at some point when the economy improves and local interest increases.",2011,http://blog.al.com/breaking/2011/11/post_730.html
Bite of Oregon,Food,OR,Portland,45.5202471,-122.6741949,Inactive,August,1983,Financial,Bite of Oregon is taking a break from 2018 because of the cost of putting on the event is rising,2018,https://www.koin.com/news/food/the-bite-of-oregon-is-taking-a-break/1358229006
Bite of Seattle,Food,WA,Seattle,47.6038321,-122.3300624,Active,July,1982,,,,
Blue Ribbon Bacon Festival,Food,IA,Des Moines,41.5910641,-93.6037149,Active,June,2008,,,,
Bockfest,Beer,OH,Cincinnati,39.1014537,-84.5124602,Active,March,1992,Weather,"During the 2008 Bockfest a huge snowstorm nearly rendered the festival closed. The parade was officially called off because of the snow emergency, but many groups decided to walk the empty, snow-covered streets anyway.",2008,https://web.archive.org/web/20140114112605/http://downtown-mtauburn.fox19.com/news/community-spirit/87016-snowman-dies-so-bockfest-may-live
Boggy Bayou Mullet Festival,Food,FL,Niceville,30.50985935,-86.4421756696983,Active,October,1977,,,,
Bonnaroo,Music,TN,Manchester,35.4817432,-86.0885993,Active,June,2002,,,,
Borderfest,Music,TX,Rio Grande Valley,29.74434,-102.67467,Active,February;March,1976,,,,
Boston Calling Music Festival,Music,MA,Boston,42.3602534,-71.0582912,Active,May,2013,,,,
Boston Early Music Festival,Music,MA,Boston,42.3602534,-71.0582912,Active,June,1980,,,,
Boston Film Festival,Film,MA,Boston,42.3602534,-71.0582912,Active,September,2003,,,,
Boston Seafood Festival,Food,MA,Boston,42.3602534,-71.0582912,Active,August,2011,,,,
Boston Wine Festival,Food,MA,Boston,42.3602534,-71.0582912,Active,January;February;March,1989,,,,
Boulder International Film Festival,Film,CO,Boulder,40.0149856,-105.2705456,Active,February;March,2004,,,,
Bridge Day,Sport,VA,Fayetteville,36.0625843,-94.1574328,Active,October,1980,,,,
Bristol Renaissance Faire,Art,WI,Kenosha,42.5846773,-87.8212263,Active,July;August;September,1972,,,,
Bristol Rhythm & Roots Reunion,Music,VA,Bristol,36.5959685,-82.1885009,Active,September,2001,,,,
Brushy Mountain Apple Festival,Food,NC,North Wilkesboro,36.1584651,-81.1475841,Active,October,N/A,,,,
Bucyrus Bratwurst Festival,Food,OH,Bucyrus,40.8083909,-82.9754649,Active,August,1968,,,,
Budweiser Made in America Festival,Music,PA,Philadelphia,39.9524152,-75.1635755,Active,August;September,2012,,,,
BUKU Music + Art Project,Music,LA,New Orleans,29.9499323,-90.0701156,Active,March,2012,,,,
Bumbershoot,Music,WA,Seattle,47.6038321,-122.3300624,Active,May,1971,,,,
Bunbury Music Festival,Music,OH,Cincinnati,39.1014537,-84.5124602,Active,May;June,2016,,,,
Burbank International Film Festival,Film,CA,Burbank,34.1816482,-118.3258554,Active,September,2009,,,,
Burning Man Festival,Alternative,NV,Black Rock City,40.7855563,-119.2064834,Active,August;September,1986,,,,
Byfield Music & Arts Festival,Music,MA,Newbury,42.7961518,-70.8610435,Active,June,2013,,,,
CAAMFest,Film,CA,San Francisco,37.7792808,-122.4192363,Active,March,1982,,,,
California Dried Plum Festival,Food,CA,Yuba City,39.1404477,-121.6169108,Inactive,N/A,1988,Financial,"The California Dried Plum Festival was a regular event for 15 years, until it withered on the vine in 2002, the victim of a sticky revenue situation.",2002,https://www.appeal-democrat.com/why-was-the-prune-dried-plum-festival-canceled/article_f03c0871-793f-51e5-bfd1-ad152cf20aab.html
Camp Bisco,Music,NY,Albany,42.6511674,-73.754968,Active,July,1999,,,,
Cape Cod Chamber Music Festival,Music,MA,Eastham,41.8301081,-69.973907,Active,August,1979,,,,
Cape Cod International Film Festival,Film,MA,Chatham,41.6820563,-69.9597376,Active,October,2014,,,,
Capital City Film Festival,Film,MI,Lansing,42.7337712,-84.5553805,Active,April,2011,,,,
Capital Pride,Culture,DC,Washington,38.8950092,-77.0365625,Active,May;June,1975,,,,
Caramoor Summer Music Festival,Music,NY,Katonah,41.25877,-73.6853852,Active,June;July,1945,,,,
Carolina Country Music Fest,Music,SC,Myrtle Beach,33.6956461,-78.8900409,Active,June,2015,,,,
Carolina Rebellion,Music,NC,Concord,35.4093772,-80.5797416,Active,May,2011,,,,
Carolina Renaissance Festival,Art,NC,Huntersville,35.410845,-80.8429094,Active,October;November,1994,,,,
Castleton Festival,Music,VA,Castleton,38.6059551,-78.1066655,Active,N/A,2009,,,,
Castroville Artichoke Festival,Food,CA,Monterey,36.600256,-121.8946388,Active,May,1959,,,,
Catoctin Colorfest,Art,MD,Thurmont,39.6237094,-77.4108201,Active,October,1963,,,,
Celebrate Fairfax!,Music,VA,Fairfax,38.8462236,-77.3063733,Active,June,1982,,,,
Central Florida Harvest and Peanut Festival,Food,FL,Williston,29.3880028,-82.4481694,Active,October,1989,,,,
Central Pennsylvania Festival of the Arts,Art,PA,State College,40.7944504,-77.8616386,Active,July,1967,,,,
Charlottesville Vegan Roots Fest,Food,VA,Charlottesville,38.029306,-78.4766781,Active,September,1997,,,,
Cheese Days,Food,WI,Monroe,43.9416755,-90.6397264,Active,September,1914,,,,
Cheeseburger in Caseville,Food,MI,Caseville,43.941125,-83.271347,Active,August,1999,,,,
Cherry Creek Arts Festival,Art,CO,Cherry Creek,39.6896651,-104.9106186,Active,July,1991,,,,
Chicago International Children's Film Festival,Film,IL,Chicago,41.8755616,-87.6244212,Active,October,1983,,,,
Chicago International Film Festival,Film,IL,Chicago,41.8755616,-87.6244212,Active,November,1964,,,,
Chicopee Downtown Get Down,Music,MA,Chicopee,42.1487043,-72.6078672,Active,August,2015,,,,
Chilympiad,Food,TX,San Marcos,29.8826436,-97.9405828,Inactive,September,1970,Financial,"In 2001, the Chilympiad was scheduled for September 14 and 15. The September 11 attacks severely impacted participation and attendance at the event.The event lost $30,000. Attendance improved for 2002, but the event lost $19,000. Chilympiad was cancelled for 2003. Although the El Jefe Association, which organized the annual event, hoped to revive the festival in 2004, they were not able to recoup from previous losses.",2003,https://en.wikipedia.org/wiki/Chilympiad
Cincinnati Food + Wine Classic,Food,OH,Cincinnati,39.1014537,-84.5124602,Active,February,2014,,,,
Cine Las Americas International Film Festival,Film,TX,Austin,30.2711286,-97.7436995,Active,May,1997,,,,
CinErotic Film Fest,Film,GA,Atlanta,33.7490987,-84.3901849,Active,February,2010,Unknow,"Stoped from 2015, and get back for a dirty show in 2019",2015,https://dirtydetroit.com/blog
Circleville Pumpkin Show,Food,OH,Circleville,39.600618,-82.9460133,Active,October,1903,,,,
Cleveland Feast of the Assumption Festival,Culture,OH,Cleveland,41.5051613,-81.6934446,Active,August,1898,,,,
Cleveland International Film Festival,Film,OH,Cleveland,41.5051613,-81.6934446,Active,April,1977,,,,
CMA Music Festival,Music,TN,Nashville,36.1622296,-86.7743531,Active,June,1972,,,,
Coachella Valley Music and Arts Festival,Music,CA,Indio,33.7192808,-116.2188054,Active,April,1999,Low attendance,Coachella’s current lineup shows significantly less rock and metal bands than in their debut in 1999.,N/A,https://www.altpress.com/news/coachella-rock-music-2019/
Colorado Shakespeare Festival,Art,CO,Boulder,40.0149856,-105.2705456,Active,June;July;August,1958,,,,
Columbus International Film & Video Festival,Film,OH,Columbus,39.9622601,-83.0007065,Active,November,1952,,,,
ComFest,Culture,OH,Columbus,39.9622601,-83.0007065,Active,June,1972,,,,
Comstock Music Festivals,Music,NE,Comstock,41.5569267,-99.243952,Active,June;July,2000,,,,
Coney Island Mermaid Parade,Alternative,NY,Coney Island,40.575789,-73.985145,Active,June,1983,,,,
Coronado Island Film Festival,Film,CA,Coronado Island,32.6915199,-117.1766947,Active,November,2016,,,,
Country USA,Music,WI,Oshkosh,44.0206919,-88.5408574,Active,June,N/A,,,,
Creation Festival,Music,PA,Mount Union,40.3845217,-77.8822199,Active,June,1979,Weather,"Due to thunderstorms and severe flooding, the festival was canceled in 1995 and 2006. ",1995;2006,https://en.wikipedia.org/wiki/Creation_Festival
Crested Butte Film Festival,Film,CO,Crested Butte,38.8697146,-106.9878232,Active,September,2011,,,,
Curtain Up!,Art,NY,Buffalo,42.8867166,-78.8783922,Active,September,1982,,,,
Dallas International Film Festival,Film,TX,Dallas,32.7762719,-96.7968559,Active,April,2007,,,,
Dally in the Alley,Beer,MI,Detroit,42.3315509,-83.0466403,Active,May,1977,,,,
Dances With Films,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,June,1998,,,,
Dark Lord Day,Beer,IN,Munster,41.5644798,-87.5125412,Active,May,2002,,,,
Day for Night,Music,TX,Houston,29.7589382,-95.3676974,Inactive,December,2015,Scandal;Financial,"After allegations of sexual misconduct with two women by festival founder Omar Afra emerged in August, 2018, the festival cut ties with Afra and foreclosed on the festival-owning entity, removing him from any involvement or ownership. On November 26, 2018, an auction was held for Afra's ownership stake, due to an unfulfilled loan agreement.The festival did not take place in 2018 and it is unclear if it will be held again.",2018,http://houston.culturemap.com/news/entertainment/08-12-18-day-for-night-festival-in-jeopardy-sex-abuse-allegations-omar-afra/#slide=0
Days of '47 Rodeo,Sport,UT,Salt Lake City,40.7670126,-111.8904308,Active,July,1847,,,,
DC Asian Pacific American Film Festival,Film,DC,Washington,38.8950092,-77.0365625,Active,October,2000,,,,
Decibel Festival,Music,WA,Seattle,47.6038321,-122.3300624,Active,September,2004,,,,
Deer Valley Music Festival,Music,UT,Park City,40.6460635,-111.4979741,Active,July;August,2003,,,,
Delaware Shakespeare Festival,Art,DE,Wilmington,39.7459468,-75.546589,Active,April,2003,,,,
Delmarva Chicken Festival,Food,MD,Centreville,39.0420588,-76.0674344,Active,June,1948,,,,
Denver Film Festival,Film,CO,Denver,39.7392364,-104.9848623,Active,November,1978,,,,
Denver Underground Film Festival,Film,CO,Denver,39.7392364,-104.9848623,Active,May,1997,,,,
Detroit Festival of the Arts,Art,MI,Detroit,42.3315509,-83.0466403,Inactive,June,1968,Financial,The organization could no longer support the expensive festival.,2009,https://www.mlive.com/entertainment/detroit/2009/09/its_official_the_detroit_festi.html
Detroit Windsor International Film Festival,Film,MI,Detroit,42.3315509,-83.0466403,Inactive,June,2008,Unknow,"Ran from 2008 to 2012, then disappear",2012,https://www.withoutabox.com/03film/03t_fin/03t_fin_fest_01over.php?festival_id=6091
Disney California Adventure Food & Wine Festival,Food,CA,Anaheim,33.8347516,-117.911732,Active,March;April,2006,Venue,Construction forces Disney California Adventure to cancel annual food festival,2010,https://www.latimes.com/archives/la-xpm-2010-nov-04-la-trb-disney-food-wine-festival-20101103-story.html
Dogwood Arts Festival,Art,TN,Knoxville,35.9603948,-83.9210261,Active,April,1961,,,,
Dominican International Film Festival,Film,DK,Puerto Plata,18.2059806,-66.5889629,Active,November,2004,,,,
Downtown Brockton Arts and Music Festival DBAM,Music,MA,Brockton,42.0834335,-71.0183787,Active,August,2010,,,,
Downtown Urban Arts Festival,Film,NY,New York City,40.7308619,-73.9871558,Active,May,2001,,,,
Dublin Irish Festival,Music,OH,Dublin,40.0992294,-83.1140771,Active,August,1988,,,,
Eat Real Festival,Food,CA,Oakland,37.8044557,-122.2713563,Active,September,2008,,,,
Electric Daisy Carnival,Music,NV,Las Vegas,36.1662859,-115.149225,Active,May,1991,,,,
Revelation Generation,Culture,NJ,Frenchtown,40.5262138,-75.06156,Inactive,August;September,2005,Unknow,"The 2011 event was canceled, and the official website indicates the festival is on an indefinite hiatus.",2011,https://www.nj.com/hunterdon-county-democrat/2011/04/revelation_generation_the_chri.html
Millennium '73,Culture,TX,Houston,29.7589382,-95.3676974,Inactive,November,1973,N/A,Only in 1973,1973,https://en.wikipedia.org/wiki/Millennium_%2773
Shakespeare in the Park,Art,NY,New York City,40.7308619,-73.9871558,Active,May;June,1954,,,,
Southern Shakespeare Festival,Art,FL,Tallahassee,30.4380832,-84.2809332,Active,April;May,1995,,,,
Shakespeare in Washington Festival,Art,DC,Washington,38.8950092,-77.0365625,Inactive,January;February;March;April;May;June,2007,N/A,Only in 2007,2007,https://en.wikipedia.org/wiki/Shakespeare_in_Washington_Festival
Woodward Shakespeare Festival,Art,CA,Fresno,36.7295295,-119.708861260756,Active,June;July;August;September,2005,,,,
El Cerrito Free Folk Festival,Music,CA,Berkeley,37.8708393,-122.2728639,Active,October,2009,,,,
Electric Forest Festival,Music,MI,Rothbury,43.507232,-86.347572,Active,June,2011,,,,
Electric Zoo Festival,Music,NY,Randall’s island,40.7967677,-73.9220815,Active,August;September,2009,,,,
Electronic Music Midwest,Music,KS,Kansas City,39.100105,-94.5781416,Active,October,2000,,,,
Kamehameha Day,Nature,HI,Hawaii,19.6273325,-155.5645619,Active,June,1871,,,,
Crested Butte Wildflower Festival,Nature,CO,Crested Butte,38.8697146,-106.9878232,Active,July,N/A,,,,
Epcot International Flower & Garden Festival,Nature,FL,Bay Lake,28.3876261,-81.5749196692526,Active,March;April;May,1994,,,,
Epcot International Food & Wine Festival,Food,FL,Bay Lake,28.3876261,-81.5749196692526,Active,August;September;October;November,1995,,,,
Essence Music Festival,Music,LA,New Orleans,29.9499323,-90.0701156,Active,July,1995,,,,
Exotic Erotic Ball,Alternative,CA,San Francisco Bay Area,37.7884969,-122.3558473,Inactive,October,1979,Financial,"In 2010, the event was cancelled due to poor ticket sales and cost overruns.The 2011 ball was never planned.",2010,https://www.mercurynews.com/2010/10/22/exotic-erotic-ball-in-richmond-canceled-day-before-event/
Extravaganza,Music,CA,Santa Barbara,34.4221319,-119.7026673,Active,May,1979,,,,
Extreme Beer Fest,Beer,MA,Boston,42.3602534,-71.0582912,Active,February,2003,,,,
Falcon Ridge Folk Festival,Music,NY,Hillsdale,42.1789784,-73.5259511,Active,August,1991,,,,
Fantasy Fest,Culture,FL,Key West,24.5625566,-81.7724368,Active,October,1970,,,,
Fantasia Fair,Culture,MA,Provincetown,42.058436,-70.1786375,Active,October,1975,,,,
Faster Horses Festival,Music,MI,Brooklyn,42.105874,-84.2482819,Active,July,2012,,,,
Fayetteville Dogwood Festival,Art,NC,Fayetteville,35.0525759,-78.878292,Active,April,1982,,,,
Feast of the Hunters' Moon,Culture,IN,West Lafayette,40.4258686,-86.9080655,Active,October,1968,,,,
Feast of San Gennaro,Culture,NY,New York City,40.7308619,-73.9871558,Active,September,1926,Social Issue,"In 1994, New York City Mayor Rudy Giuliani declared that if the city's San Gennaro festival did not remove corrupt elements(San Gennaro massacre), he would shut it down. After a series of sometimes heated discussions, organizers relented to the city's demand that an independent monitor be shown the records of the Society for the Feast of San Gennaro. And the 11-day celebration was allowed to begin.",1994,https://www.nytimes.com/1995/09/16/nyregion/san-gennaro-crowds-cannoli-and-a-crackdown.html
Fellsmere Frog Leg Festival,Food,FL,Fellsmere,27.767806,-80.6014442,Active,January,1990,,,,
Festival at the Farm,Music,MA,Canton,42.1584324,-71.1447732,Inactive,September,2016,Venue,"Over the winter, we learned that our 2019 lease for Prowse Farm would not be renewed. ",2019,https://www.festivalatthefarm.com/?fbclid=IwAR37Q5oMpqUlI3Zpmmv4EVuBPM2rOkLfaVobflQCrhlmAVbE1QwMhU4pwC8
Festival International de Louisiane,Music,LA,Lafayette,30.2240897,-92.0198427,Active,April,1986,,,,
Festival Latinoamericano,Culture,UT,Provo,40.2338438,-111.6585337,Active,September,2001,,,,
Festival Napa Valley,Food,CA,Napa Valley,39.0234679,-84.4504648,Active,July,2006,,,,
Festival Of Dankness,Beer,CA,San Diego,32.7174209,-117.1627714,Active,August,2013,,,,
Festival of the Arts,Art,MI,Grand Rapids,42.9632405,-85.6678639,Active,June,1970,,,,
Festival of the Fish,Food,OH,Vermilion,41.4219889,-82.3646068,Active,June,N/A,,,,
Festivus Film Festival,Film,CO,Denver,39.7392364,-104.9848623,Inactive,December,2008,Financial,"Ended in 2013, it comes down to significant life changes for the principals of the organization, very little financial incentive, and less experience.",2013,https://www.westword.com/arts/festivus-film-and-laugh-track-festivals-call-it-quits-5788172
Fiesta San Antonio,Culture,TX,San Antonio,29.4246002,-98.4951405,Active,April;March,1891,,,,
Finger Lakes GrassRoots Festival of Music and Dance,Music,NY,Trumansburg,42.5422939,-76.6660589,Active,July,1991,,,,
FinnFestUSA,Culture,US,,39.7837304,-100.4458825,Active,September,1983,,,,
Firefly Music Festival Dover,Music,DE,Delaware,38.6920451,-75.4013315,Active,June,2012,,,,
Flood City Music Festival,Music,PA,Johnstown,40.3267407,-78.9219698,Active,August,1989,,,,
Florida Folk Festival,Culture,FL,Hamilton County,30.5232289,-82.9763531,Active,April,1952,,,,
Florida Film Festival,Film,FL,Maitland,28.6252263,-81.3737344128707,Active,April,1992,,,,
Florida Seafood Festival,Food,FL,Apalachicola,29.7255084,-84.9827725,Active,November,1963,,,,
Florida Strawberry Festival,Food,FL,Plant City,28.01806015,-82.1184819850713,Active,February;March,1930,,,,
FloydFest,Music,VA,Floyd,36.9157056,-80.3876889,Active,July,2002,,,,
Folkmoot,Culture,NC,Waynesville,35.4887476,-82.9888725,Active,July,1984,,,,
Food Network South Beach Wine and Food Festival,Food,FL,Miami Beach,25.7929198,-80.1353006,Active,February,2001,,,,
Food truck rally,Food,NY,New York City,40.7308619,-73.9871558,Active,March;April,2011,,,,
Forecastle Festival,Music,KY,Louisville,38.2542376,-85.759407,Active,July,2002,,,,
FotoFilm Tijuana,Film,MX,Tijuana,32.5584048,-117.0929651,Active,July,2017,,,,
Frameline Film Festival,Film,CA,San Francisco,37.7792808,-122.4192363,Active,June,1977,,,,
Free Press Summer Fest,Music,TX,Houston,29.7589382,-95.3676974,Active,June,2003,,,,
French Film Festival,Film,VA,Richmond,37.5385087,-77.43428,Active,March,1993,,,,
French Quarter Festival,Music,LA,New Orleans,29.9499323,-90.0701156,Active,April,1984,,,,
Freshgrass Festival,Music,MA,North Adams,42.700915,-73.1087148,Active,September,1998,,,,
Friendship Festival,Culture,NY,Buffalo,42.8867166,-78.8783922,Active,July,1987,,,,
Fun Fun Fun Fest,Music,TX,Austin,30.2711286,-97.7436995,Inactive,November,2006,Financial,The festival had its final year in 2015. ,2015,https://www.austinchronicle.com/music/2016-09-16/playback-no-fun-fun-fun-fest-in-2016/
Garden State Film Festival,Film,NJ,Atlantic City,39.3642852,-74.4229351,Active,March,2002,,,,
Gasparilla Pirate Festival,Culture,FL,Tampa,27.9477595,-82.458444,Active,January,1904,,,,
Gathering of the Vibes,Music,CT,Bridgeport,41.1670412,-73.2048348,Inactive,November,1996,Financial,"On November 27, 2015 it was announced that Gathering of the Vibes would not take place in 2016, though it was stated that the festival planned to return in 2017. This did not occur, however, and it appears that 2015 was the last gathering.",2015,https://patch.com/connecticut/bridgeport/gathering-vibes-wont-return-seaside-park-2017
Georgia Apple Festival,Food,GA,Ellijay,34.6950278,-84.4827394,Active,October,1971,,,,
Gilroy Garlic Festival,Food,CA,Gilroy,37.0065078,-121.5631723,Active,July,1979,,,,
Golden Door Film Festival,Film,NJ,Jersey City,40.7281575,-74.0776417,Active,September,2010,,,,
Gotham Screen Film Festival & Screenplay Contest,Film,NY,New York City,40.7308619,-73.9871558,Active,October,2012,,,,
Governors Ball Music Festival,Music,NY,Randall's Island,40.7967677,-73.9220815,Active,May;June,2011,,,,
Great American Beer Festival,Beer,CO,Denver,39.7392364,-104.9848623,Active,September;October,1982,,,,
Great River Shakespeare Festival,Art,MI,Winona,46.8743786,-88.9073564,Active,June;July;August,2004,,,,
Great World Beer Festival,Beer,NY,New York,40.7308619,-73.9871558,Active,October,2002,,,,
Greek Food Festival,Food,FL,Tallahassee,30.4380832,-84.2809332,Active,November,1983,,,,
Greek Food Festival of Dallas,Food,TX,Dallas,32.7762719,-96.7968559,Active,September,1956,,,,
Green Bay Film Festival,Film,WI,De Pere,44.4487476,-88.0601086,Active,February,2010,,,,
Green River Festival,Music,MA,Greenfield,42.5877962,-72.6006199,Active,July,1986,,,,
Grey Fox Bluegrass Festival,Music,NY,Oak Hill,44.5419905,-73.6429169,Active,July,1984,,,,
Groundhog Day,Culture,PA,Punxsutawney,40.9436303,-78.971078,Active,February,1887,,,,
Groovefest American Music Festival,Music,UT,Cedar City,37.6774238,-113.0618277,Active,June,2001,,,,
Half Moon Bay Art and Pumpkin Festival,Art,CA,Half Moon Bay,37.4635519,-122.4285862,Active,October,1971,,,,
Hampton Jazz Festival,Music,VA,Hampton,37.0300969,-76.3452057,Active,June,1968,,,,
Hamptons International Film Festival,Film,NY,East Hampton,40.9637919,-72.1851729,Active,October,1993,,,,
Hangout Music Fest,Music,AL,Gulf Shores,30.259257,-87.7119929396743,Active,May,2009,,,,
Hardly Strictly Bluegrass,Music,CA,San Francisco,37.7792808,-122.4192363,Active,October,2001,,,,
Harvest of Hope Fest,Music,FL,St. Augustine,29.8946952,-81.3145395,Inactive,March,2009,Financial,Organizing the 2009 and 2010 Fests were enormous undertakings and at this time the Harvest of Hope Foundation and St. Johns County do not have the resources and time to put together a 2011 Fest.,2011,https://consequenceofsound.net/2010/09/no-harvest-of-hope-for-2011/
Harvest of the Arts,Art,PA,Carlisle,40.201499,-77.1890783,Active,September,1980,,,,
Hawaii International Film Festival,Film,HI,Honolulu,21.3250785,-157.846644178573,Active,April,1981,,,,
Heartland Film Festival,Film,IN,Indianapolis,39.7683331,-86.1583502,Active,October,1991,,,,
Hessler Street Fair,Culture,OH,Cleveland,41.5051613,-81.6934446,Active,June,1969,Organizer,"There were too few people who wanted to organize such a large public event, and the Hessler Street Fairs ceased. The last of the original Fairs was held in 1984. In 1995, partly out of nostalgia and partly to once again raise funds for the Neighborhood Association, a small group of past and present Hessler residents got together to resurrect the Fair.",1985,http://hesslerstreetfair.org/history.html
High Falls Film Festival,Film,NY,Rochester,43.157285,-77.615214,Active,November,2001,Unknow,"After taking a hiatus in 2012, High Falls Film festival returned in 2013 to its original mission,focus, and name. No information about 2019 festival",2019,https://en.wikipedia.org/wiki/High_Falls_Film_Festival
